tconst	primaryTitle	startYear	genres	rating	votes
tt0112950	Empire Records	1995	Comedy,Drama,Music	6.7	64862
tt0101765	The Double Life of Véronique	1991	Drama,Fantasy,Music	7.6	55061
tt0112384	Apollo 13	1995	Adventure,Drama,History	7.7	325569
tt0185125	All About My Mother	1999	Comedy,Drama,Romance	7.8	106388
tt0140888	Central Station	1998	Drama	8.0	47685
tt0111149	Shallow Grave	1994	Crime,Drama,Thriller	7.2	68334
tt0083922	Fanny and Alexander	1982	Drama	8.1	69343
tt0374900	Napoleon Dynamite	2004	Comedy	7.0	246583
tt0067992	Willy Wonka & the Chocolate Factory	1971	Adventure,Comedy,Family	7.8	236331
tt0079417	Kramer vs. Kramer	1979	Drama	7.8	160516
tt0067093	Fiddler on the Roof	1971	Drama,Family,Musical	8.0	49845
tt14208870	The Fabelmans	2022	Drama	7.5	127611
tt0087332	Ghostbusters	1984	Action,Comedy,Fantasy	7.8	469308
tt0138414	Edge of Seventeen	1998	Comedy,Drama,Romance	6.8	7245
tt0432283	Fantastic Mr. Fox	2009	Adventure,Animation,Comedy	7.9	284884
tt0249462	Billy Elliot	2000	Drama,Music	7.7	147707
tt0134119	The Talented Mr. Ripley	1999	Crime,Drama,Thriller	7.4	260576
tt0091867	A Room with a View	1985	Drama,Romance	7.2	50192
tt15398776	Oppenheimer	2023	Biography,Drama,History	8.3	879365
tt0086465	Trading Places	1983	Comedy	7.5	173985
tt0876563	Ponyo	2008	Adventure,Animation,Comedy	7.6	174034
tt0101507	Boyz n the Hood	1991	Crime,Drama	7.8	161692
tt0069704	American Graffiti	1973	Comedy,Drama	7.4	101889
tt0472043	Apocalypto	2006	Action,Adventure,Drama	7.8	343939
tt0071360	The Conversation	1974	Drama,Mystery,Thriller	7.7	130100
tt0077416	The Deer Hunter	1978	Drama,War	8.1	374541
tt0074678	The Incredible Sarah	1976	Biography,Drama,History	5.5	280
tt0073747	The Stepford Wives	1975	Horror,Mystery,Sci-Fi	6.9	20585
tt0286112	Shaolin Soccer	2001	Action,Comedy,Fantasy	7.3	92756
tt0102685	Point Break	1991	Action,Crime,Thriller	7.3	213017
tt0263757	Uptown Girls	2003	Comedy,Drama,Romance	6.2	46657
tt0078902	Breaking Away	1979	Comedy,Drama,Sport	7.7	26541
tt0120623	A Bug's Life	1998	Adventure,Animation,Comedy	7.2	326064
tt0107554	Menace II Society	1993	Crime,Drama,Thriller	7.5	67037
tt0083929	Fast Times at Ridgemont High	1982	Comedy,Drama	7.1	120415
tt0077651	Halloween	1978	Horror,Thriller	7.7	322579
tt0318462	The Motorcycle Diaries	2004	Adventure,Biography,Drama	7.7	106783
tt0119177	Gattaca	1997	Drama,Sci-Fi,Thriller	7.7	335011
tt0446029	Scott Pilgrim vs. the World	2010	Action,Comedy,Fantasy	7.5	480627
tt1028532	Hachi: A Dog's Tale	2009	Biography,Drama,Family	8.1	326974
tt0066921	A Clockwork Orange	1971	Crime,Sci-Fi	8.2	909290
tt0092593	Au Revoir les Enfants	1987	Drama,War	8.0	37354
tt0086979	Blood Simple	1984	Crime,Drama,Thriller	7.5	109615
tt0067185	Harold and Maude	1971	Comedy,Drama,Romance	7.9	83947
tt0401248	Beautiful Boxer	2003	Action,Biography,Drama	7.1	3351
tt0195685	Erin Brockovich	2000	Biography,Drama	7.5	233267
tt0372824	The Chorus	2004	Drama,Music	7.8	69350
tt0119164	The Full Monty	1997	Comedy,Drama	7.2	116879
tt0243155	Bridget Jones's Diary	2001	Comedy,Drama,Romance	6.8	277356
tt0080610	The Last Metro	1980	Drama,Romance,War	7.3	16409
tt0115940	A Summer's Tale	1996	Comedy,Drama,Romance	7.6	10966
tt0120255	The Sweet Hereafter	1997	Drama	7.4	37409
tt0096163	The Vanishing	1988	Mystery,Thriller	7.7	49777
tt0388795	Brokeback Mountain	2005	Drama,Romance	7.7	399895
tt1381803	The Great Bear	2011	Adventure,Animation,Family	5.6	717
tt0119499	Last Lives	1997	Action,Sci-Fi,Thriller	3.7	300
tt0071853	Monty Python and the Holy Grail	1975	Adventure,Comedy,Fantasy	8.2	586202
tt0250494	Legally Blonde	2001	Comedy,Romance	6.5	265411
tt0085794	The King of Comedy	1982	Comedy,Crime,Drama	7.8	125676
tt0339385	Midsommer	2003	Drama,Horror,Mystery	5.7	2978
tt0079588	The Muppet Movie	1979	Adventure,Comedy,Family	7.6	40897
tt0117883	Thesis	1996	Crime,Horror,Mystery	7.4	44291
tt0117381	Primal Fear	1996	Crime,Drama,Mystery	7.7	258512
tt0113497	Jumanji	1995	Adventure,Comedy,Family	7.1	394103
tt0069495	What's Up, Doc?	1972	Comedy,Romance	7.7	28679
tt1489887	Booksmart	2019	Comedy	7.1	136116
tt0076666	Saturday Night Fever	1977	Drama,Music	6.8	91040
tt0069281	Sleuth	1972	Mystery,Thriller	7.9	51374
tt0120917	The Emperor's New Groove	2000	Adventure,Animation,Comedy	7.4	236731
tt0125439	Notting Hill	1999	Comedy,Drama,Romance	7.2	363724
tt0111296	Weird Tales	1994	Drama	6.9	175
tt0102494	My Own Private Idaho	1991	Drama	6.9	64340
tt0095675	Women on the Verge of a Nervous Breakdown	1988	Comedy,Drama	7.5	48652
tt0088939	The Color Purple	1985	Drama	7.7	100725
tt0087800	A Nightmare on Elm Street	1984	Horror	7.4	276825
tt0093191	Wings of Desire	1987	Drama,Fantasy,Romance	7.9	80673
tt0076162	House	1977	Comedy,Horror	7.3	36567
tt0072431	Young Frankenstein	1974	Comedy	8.0	175073
tt0070034	Enter the Dragon	1973	Action,Crime,Thriller	7.6	116432
tt0098258	Say Anything	1989	Comedy,Drama,Romance	7.3	99169
tt0086425	Terms of Endearment	1983	Comedy,Drama	7.4	68057
tt0260991	Joint Security Area	2000	Action,Drama,Thriller	7.7	36185
tt0276919	Dogville	2003	Crime,Drama	8.0	163622
tt0093342	Where Is the Friend's House?	1987	Drama,Family	8.1	20683
tt0158714	Lady Snowblood	1973	Action,Crime,Drama	7.6	17411
tt11726342	Nosferatu.com	2020	Horror	3.7	33
tt0132396	Island of the Dead	1993	Drama	7.8	20
tt0084805	Tootsie	1982	Comedy,Drama,Romance	7.4	118450
tt14230458	Poor Things	2023	Comedy,Drama,Romance	7.8	338379
tt0120601	Being John Malkovich	1999	Comedy,Drama,Fantasy	7.7	361670
tt0165798	Ghost Dog: The Way of the Samurai	1999	Crime,Drama	7.5	100379
tt0106489	A Bronx Tale	1993	Crime,Drama	7.8	171514
tt0340377	The Station Agent	2003	Comedy,Drama	7.6	75448
tt0106856	Falling Down	1993	Crime,Drama,Thriller	7.6	215759
tt0283900	The Spanish Apartment	2002	Comedy,Drama,Romance	7.3	43415
